Geo Point;Geo Shape;gares_id;nom_long;nom;nom_sous;nom_sur;id_ref_lda;nom_lda;id_ref_zdl;nom_zdl;num_mod;mode_;fer;train;rer;metro;tramway;navette;val;terfer;tertrain;terrer;termetro;tertram;ternavette;terval;idrefliga;idrefligc;ligne;cod_ligf;ligne_code;indice_lig;reseau;res_com;exploitant;num_psr;idf;principal;x;y;picto ligne
48.9555044771,2.2955916949;"{""type"": ""Point"", ""coordinates"": [2.295591694903068, 48.955504477118595]}";1195;EPINAY-ORGEMONT;Épinay-Orgemont;;;72382;Epinay - Orgemont;50483;Epinay - Orgemont;0;Tramway;0;0;0;0;1;0;0;0;0;0;0;T8;0;0;A02150;C01795;T8;0.0;T8-117072;8;TRAMWAY;TRAM 8;RATP;0;1;0;648413.7231;6873068.5658;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/b865807abbd35de8ec5a834f5886d3de
48.9333553822,2.29460298939;"{""type"": ""Point"", ""coordinates"": [2.294602989386074, 48.93335538222904]}";1081;LE VILLAGE;Le Village;;;72305;Le Village;50664;Le Village;0;Tramway;0;0;0;0;1;0;0;0;0;0;0;0;0;0;A01191;C01389;T1;31.0;T1-1032;1;TRAMWAY;TRAM 1;RATP;0;1;0;648319.3156;6870606.2437;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/dc9070ea3c17f6fad088a5ae8662c6d4
48.8966643963,2.24007925205;"{""type"": ""Point"", ""coordinates"": [2.240079252051399, 48.89666439631881]}";1086;FAUBOURG DE L ARCHE;Faubourg de l'Arche;;;72063;Faubourg de l'Arche;479058;Faubourg de l'Arche;0;Tramway;0;0;0;0;1;0;0;0;0;0;0;0;0;0;A01192;C01390;T2;32.0;T2-1505;2;TRAMWAY;TRAM 2;RATP;0;1;0;644285.5052;6866563.4258;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/6adc5920dae46cc3393723124d9e7886
48.8794703691,2.40122176128;"{""type"": ""Point"", ""coordinates"": [2.401221761278451, 48.87947036907197]}";1106;HOPITAL ROBERT DEBRE;Hôpital Robert Debré;;;71914;Hôpital Robert Debré;45616;Hôpital Robert Debré;0;Tramway;0;0;0;0;1;0;0;0;0;0;0;0;0;0;A01757;C01679;T3B;0.0;T3B-1604;3B;TRAMWAY;TRAM 3b;RATP;0;1;0;656085.105;6864549.8917;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/39d54fc2c94b449e0465945c28663987
48.8974328495,2.39504174968;"{""type"": ""Point"", ""coordinates"": [2.395041749682104, 48.89743284946484]}";1109;ELLA FITZGERALD;Ella Fitzgerald;;;73799;Ella Fitzgerald;58499;Ella Fitzgerald;0;Tramway;0;0;0;0;1;0;0;0;0;0;0;0;0;0;A01757;C01679;T3B;0.0;T3B-1607;3B;TRAMWAY;TRAM 3b;RATP;0;1;0;655647.1692;6866550.6837;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/39d54fc2c94b449e0465945c28663987
48.8890076495,2.39568107471;"{""type"": ""Point"", ""coordinates"": [2.395681074711602, 48.88900764950692]}";1116;PORTE DE PANTIN;Porte de Pantin;Parc de la Villette;;71989;Porte de Pantin;473687;Porte de Pantin - Parc de la Villette;0;Tramway;0;0;0;0;1;0;0;0;0;0;0;0;0;0;A01757;C01679;T3B;0.0;T3B-1612;3B;TRAMWAY;TRAM 3b;RATP;0;1;0;655686.8707;6865613.4809;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/39d54fc2c94b449e0465945c28663987
48.9792761263,2.38020425433;"{""type"": ""Point"", ""coordinates"": [2.380204254325135, 48.97927612626855]}";1120;PAUL VALERY;Paul Valéry;;;65618;Paul Valéry;44298;Paul Valéry;0;Tramway;0;0;0;0;1;0;0;0;0;0;0;0;0;0;A01760;C01684;T5;35.0;T5-1702;5;TRAMWAY;TRAM 5;RATP;0;1;0;654630.8097;6875660.0845;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/b80fe7750c20d7588ef571595791b3a3
48.97749309,2.37224292371;"{""type"": ""Point"", ""coordinates"": [2.372242923708273, 48.97749308997529]}";1122;LES CHOLETTES;Les Cholettes;;;65586;Les Cholettes;59018;Les Cholettes;0;Tramway;0;0;0;0;1;0;0;0;0;0;0;0;0;0;A01760;C01684;T5;35.0;T5-1704;5;TRAMWAY;TRAM 5;RATP;0;1;0;654046.4743;6875466.4075;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/b80fe7750c20d7588ef571595791b3a3
48.7789363931,2.3674058645;"{""type"": ""Point"", ""coordinates"": [2.367405864497285, 48.77893639308638]}";1144;DOMAINE CHERIOUX;Domaine Chérioux;;;70022;Domaine Chérioux;42882;Domaine Chérioux;0;Tramway;0;0;0;0;1;0;0;0;0;0;0;0;0;0;A02134;C01774;T7;37.0;T7-1813;7;TRAMWAY;TRAM 7;RATP;0;1;0;653515.5161;6853390.9843;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/60158a0802e6af6fdd9f1071fa876cf0
48.7528113597,2.36195215258;"{""type"": ""Point"", ""coordinates"": [2.361952152582564, 48.752811359698114]}";1150;PLACE DE LA LOGISTIQUE;Place de la Logistique;Plateforme Sogaris;;69729;Place de la Logistique;57491;Place de la Logistique;0;Tramway;0;0;0;0;1;0;0;0;0;0;0;0;0;0;A02134;C01774;T7;37.0;T7-1819;7;TRAMWAY;TRAM 7;RATP;0;1;0;653091.3022;6850489.5636;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/60158a0802e6af6fdd9f1071fa876cf0
48.7849021663,2.23713270497;"{""type"": ""Point"", ""coordinates"": [2.237132704968192, 48.78490216629835]}";1169;GEORGES POMPIDOU;Georges Pompidou;;;70149;Georges Pompidou;50800;Georges Pompidou;0;Tramway;0;0;0;0;1;0;0;0;0;0;0;0;0;0;A02149;C01794;T6;39.0;T6-117050;6;TRAMWAY;TRAM 6;RATP;0;1;0;643949.423;6854138.8606;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/7e2c2678c2250f7f2e96088e2529d697
48.7835393328,2.22528029528;"{""type"": ""Point"", ""coordinates"": [2.225280295281189, 48.7835393327651]}";1171;MEUDON-LA-FORET;Meudon-la-Forêt;;;69466;Meudon-la-Forêt;42830;Meudon-la-Forêt;0;Tramway;0;0;0;0;1;0;0;0;0;0;0;0;0;0;A02149;C01794;T6;39.0;T6-117048;6;TRAMWAY;TRAM 6;RATP;0;1;0;643077.1253;6853995.816;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/7e2c2678c2250f7f2e96088e2529d697
48.7804547115,2.19140991927;"{""type"": ""Point"", ""coordinates"": [2.191409919273295, 48.78045471153041]}";1176;MAIRIE DE VELIZY;Mairie de Vélizy;;;63706;Mairie de Vélizy;42430;Mairie de Vélizy;0;Tramway;0;0;0;0;1;0;0;0;0;0;0;0;0;0;A02149;C01794;T6;39.0;T6-117043;6;TRAMWAY;TRAM 6;RATP;0;1;0;640585.0575;6853677.8126;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/7e2c2678c2250f7f2e96088e2529d697
48.8978323851,2.33802674023;"{""type"": ""Point"", ""coordinates"": [2.338026740232627, 48.89783238508955]}";1210;Angélique Compoint - Porte de Montmartre;Angélique Compoint;Porte de Montmartre;;72081;Angélique Compoint - Porte de Montmartre;45531;Angélique Compoint - Porte de Montmartre;0;Tramway;0;0;0;0;1;0;0;0;0;0;0;0;0;0;A01757;C01679;T3B;0.0;T3B-1613;3B;TRAMWAY;TRAM 3b;RATP;0;1;0;651467.5501;6866628.6443;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/39d54fc2c94b449e0465945c28663987
48.9084168864,2.53917333094;"{""type"": ""Point"", ""coordinates"": [2.539173330939577, 48.90841688638551]}";1219;Maurice Audin;Maurice Audin;;;73364;Maurice Audin;479052;Maurice Audin;3008;Tramway;0;0;0;0;1;0;0;0;0;0;0;0;0;0;A01761;C01843;T4;34.0;;4;TRAMWAY;TRAM 4;SNCF;113860;1;0;666221.241;6867700.7704;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/7906e64f9ef97531ad26719b8713713e
48.7904285945,2.38823514034;"{""type"": ""Point"", ""coordinates"": [2.388235140336683, 48.790428594523135]}";1237;Mairie de Vitry;Mairie de Vitry;;VITRY-SUR-SEINE;70169;Mairie de Vitry-sur-Seine;479022;Mairie de Vitry-sur-Seine;5475;Tramway;0;0;0;0;1;0;0;0;0;0;0;0;0;0;A02371;C02317;TRAM 9;0.0;TRAM 9-117079;9;TRAMWAY;TRAM 9;KEOLIS;0;1;0;655055.9681;6854656.6796;
48.9158378929,2.42500989427;"{""type"": ""Point"", ""coordinates"": [2.425009894274451, 48.915837892883054]}";349;HOPITAL AVICENNE;Hôpital Avicenne;;;72534;Hôpital Avicenne;43373;Hôpital Avicenne;3506;Tramway;0;0;0;0;1;0;0;0;0;0;0;0;0;0;A01191;C01389;T1;31.0;T1-1014;1;TRAMWAY;TRAM 1;RATP;0;1;0;657859.1627;6868580.8555;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/dc9070ea3c17f6fad088a5ae8662c6d4
48.9274028908,2.39247111933;"{""type"": ""Point"", ""coordinates"": [2.39247111932733, 48.927402890758145]}";355;HOTEL DE VILLE DE LA COURNEUVE;Hôtel de Ville de La Courneuve;;;72622;Hôtel de Ville de la Courneuve;46120;Hôtel de Ville de la Courneuve;3512;Tramway;0;0;0;0;1;0;0;0;0;0;0;0;0;0;A01191;C01389;T1;31.0;T1-1008;1;TRAMWAY;TRAM 1;RATP;0;1;0;655484.3469;6869884.7204;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/dc9070ea3c17f6fad088a5ae8662c6d4
48.9531682468,2.31540361211;"{""type"": ""Point"", ""coordinates"": [2.315403612112167, 48.95316824676445]}";1191;ROSE BERTIN;Rose Bertin;Centre Commercial l’Ilo;;72376;Rose Bertin (Centre Commercial l'Ilo);415806;Rose Bertin (Centre Commercial l'Ilo);0;Tramway;0;0;0;0;1;0;0;0;0;0;0;0;0;0;A02150;C01795;T8;0.0;T8-117069;8;TRAMWAY;TRAM 8;RATP;0;1;0;649862.3296;6872796.014;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/b865807abbd35de8ec5a834f5886d3de
48.9785246243,2.38504919201;"{""type"": ""Point"", ""coordinates"": [2.385049192009275, 48.978524624291886]}";1119;LES LOCHERES;Lochères;;;65604;Lochères;43748;Lochères;0;Tramway;0;0;0;0;1;0;0;0;0;0;0;0;0;0;A01760;C01684;T5;35.0;T5-1701;5;TRAMWAY;TRAM 5;RATP;0;1;0;654984.8022;6875573.7415;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/b80fe7750c20d7588ef571595791b3a3
48.763375153,2.36779053573;"{""type"": ""Point"", ""coordinates"": [2.367790535734809, 48.76337515298245]}";1147;AUGUSTE PERRET;Auguste Perret;Cimetière Parisien;;69837;Auguste Perret (Cimetière Parisien);58784;Auguste Perret (Cimetière Parisien);0;Tramway;0;0;0;0;1;0;0;0;0;0;0;0;0;0;A02134;C01774;T7;37.0;T7-1816;7;TRAMWAY;TRAM 7;RATP;0;1;0;653529.9294;6851660.6122;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/60158a0802e6af6fdd9f1071fa876cf0
48.7385627773,2.36991014668;"{""type"": ""Point"", ""coordinates"": [2.369910146676412, 48.73856277725126]}";1156;CAROLINE AIGLE;Caroline Aigle;Orlyfret;;69606;Caroline Aigle (Orlyfret);58781;Caroline Aigle (Orlyfret);0;Tramway;0;0;0;0;1;0;0;0;0;0;0;0;0;0;A02134;C01774;T7;37.0;T7-1804;7;TRAMWAY;TRAM 7;RATP;0;0;0;653663.7129;6848900.6998;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/60158a0802e6af6fdd9f1071fa876cf0
48.7340881621,2.37125037622;"{""type"": ""Point"", ""coordinates"": [2.371250376223923, 48.734088162111085]}";1157;COEUR D'ORLY;Coeur d'Orly;;;69577;Coeur d'Orly;58782;Coeur d'Orly;0;Tramway;0;0;0;0;1;0;0;0;0;0;0;0;0;0;A02134;C01774;T7;37.0;T7-1805;7;TRAMWAY;TRAM 7;RATP;0;1;0;653758.3088;6848402.4278;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/60158a0802e6af6fdd9f1071fa876cf0
48.7836246222,2.21443350205;"{""type"": ""Point"", ""coordinates"": [2.214433502050176, 48.78362462215806]}";1173;DEWOITINE;Dewoitine;;;416744;Dewoitine;42846;Dewoitine;0;Tramway;0;0;0;0;1;0;0;0;0;0;0;0;0;0;A02149;C01794;T6;39.0;T6-117046;6;TRAMWAY;TRAM 6;RATP;0;1;0;642280.2728;6854013.1727;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/7e2c2678c2250f7f2e96088e2529d697
48.8975167168,2.32372791301;"{""type"": ""Point"", ""coordinates"": [2.323727913008989, 48.897516716829756]}";1212;Epinettes - Pouchet;Épinettes - Pouchet;;;72052;Epinettes - Pouchet;45478;Epinettes - Pouchet;0;Tramway;0;0;0;0;1;0;0;0;0;0;0;0;0;0;A01757;C01679;T3B;0.0;T3B-1614;3B;TRAMWAY;TRAM 3b;RATP;0;1;0;650418.9589;6866602.4269;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/39d54fc2c94b449e0465945c28663987
48.8126293761,2.37066124896;"{""type"": ""Point"", ""coordinates"": [2.370661248960381, 48.812629376127354]}";1232;Cimetière Parisien d'Ivry;Cimetière Parisien d'Ivry;Place du Général de Gaulle;IVRY-SUR-SEINE;70486;Cimetière Parisien d'Ivry;479018;Cimetière Parisien d'Ivry;5475;Tramway;0;0;0;0;1;0;0;0;0;0;0;0;0;0;A02371;C02317;TRAM 9;0.0;TRAM 9-117074;9;TRAMWAY;TRAM 9;KEOLIS;0;1;0;653784.5822;6857135.2426;
48.8623253291,2.31513843219;"{""type"": ""Point"", ""coordinates"": [2.315138432191171, 48.86232532909371]}";363;INVALIDES;Invalides;;;71274;Invalides;473381;Invalides (r. Esnault-Pelterie);2217;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;A01541;C01378;8;15.0;8-312;8;METRO;METRO 8;RATP;0;1;0;649755.2952;6862694.8123;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/fc7c7039b5a3e79675aeb4d59dce6f51
48.8408434319,2.5477751893;"{""type"": ""Point"", ""coordinates"": [2.547775189299494, 48.84084343185482]}";598;NOISY-LE-GRAND-MONT D'EST;Noisy-le-Grand-Mont d'Est;;;479919;Cimetière;42613;Cimetière;2427;RER;1;0;1;0;0;0;0;0;0;0;0;0;0;0;A01856;C01742;RER A;24.0;RER A-420;A;RER;RER A;RATP;758334;1;0;666808.7205;6860183.2942;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/2922fd9716bdb3b0487b2960b932652a
